time,Normalized_Flux,error
2335.559281,0.998861085,0.000683472
2335.559512,0.998964518,0.000683145
2335.559744,0.998326823,0.000682982
2335.559975,0.998797096,0.000683284
2335.560207,0.997768223,0.000682984
2335.560438,0.999138864,0.000683368
2335.56067,0.998376861,0.000684018
2335.560901,0.999245549,0.000683954
2335.561133,0.999513048,0.000683644
2335.561364,0.998017993,0.000683198
2335.561596,0.997163361,0.000682277
2335.561827,0.99839889,0.000683242
2335.562059,0.998830769,0.000682961
2335.56229,0.999128899,0.000683715
2335.562521,0.999199497,0.000683352
2335.562753,1.000397262,0.000683831
2335.562984,0.999544728,0.000684114
2335.563216,0.999992237,0.000683303
2335.563447,0.999865202,0.000684185
2335.563679,0.998243321,0.000683214
2335.56391,0.999476962,0.00068329
2335.564142,0.999628439,0.000683508
2335.564373,0.999529832,0.000683587
2335.564605,0.9995056,0.00068344
2335.564836,0.998229159,0.000683131
2335.565068,0.997168816,0.000682592
2335.565299,0.999412342,0.00068326
2335.565531,1.0009203,0.000683928
2335.565762,0.998511029,0.000683199
2335.565994,1.00006955,0.000683802
2335.566225,0.999626341,0.000683582
2335.566457,0.999810863,0.00068378
2335.566688,0.999799638,0.000683577
2335.56692,0.998908921,0.00068301
2335.567151,0.999238626,0.000683693
2335.567383,0.99915911,0.000683753
2335.567614,0.99897333,0.000683578
2335.567846,0.999581863,0.000683521
2335.568077,0.997971731,0.000683095
2335.568309,0.999864048,0.000683225
2335.56854,0.998958749,0.000683267
2335.568772,0.999666518,0.000683742
2335.569003,0.999934017,0.000683241
2335.569235,1.000243896,0.000683957
2335.569466,0.999616271,0.000683889
2335.569698,0.999943353,0.000684375
2335.569929,0.999215442,0.000683421
2335.570161,0.999344576,0.000683059
2335.570392,0.99861698,0.00068336
2335.570624,0.999000395,0.000683531
2335.570855,0.999284677,0.000683186
2335.571086,0.999401852,0.000683465
2335.571318,0.998676774,0.00068317
2335.571549,0.999772888,0.000683295
2335.571781,0.999090505,0.000683288
2335.572012,1.000110986,0.000683911
2335.572244,0.998634708,0.000683972
2335.572475,0.999539693,0.000683305
2335.572707,0.999468779,0.00068384
2335.572938,0.998901263,0.000683635
2335.57317,0.998562851,0.000682858
2335.573401,0.999073826,0.00068302
2335.573633,0.998989275,0.0006832
2335.573864,0.998935251,0.000683575
2335.574096,0.999098897,0.000683447
2335.574327,0.999402272,0.000685871
