pl_name,pl_letter,tic,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
HD 95127,b,252794572,0,482,5,-5,0,1.28,0.08,-0.08,0,1.11,,,0,0.11,0.1,-0.1,0,,,,,2453200.5,50,-50,0,K0,4218,30,-30,0,41.01,18.22,-18.22,0,164.8961152,43.8144094,676.579,45.1145,-45.1145
HD 95338,b,304142124,0,55.087,0.02,-0.02,0,0.262,0.002,-0.002,0,0.347,0.017,-0.018,0,0.197,0.029,-0.024,0,2458585.28,0.0006,-0.0006,0,,,,,K0.5 V,5212,16,-11,0,0.87,0.04,-0.04,0,164.8563364,-56.6235564,36.9941,0.0689,-0.0687
HD 95544,b,156103616,0,2041.54152,262.59531,-184.27313,0,3.166,0.294,-0.25,0,1.14,,,0,0.049,0.045,-0.029,0,,,,,2454448.617,274.64,-223.498,0,G0,5722,15,-15,0,1.09,0.07,-0.07,0,166.3231784,81.0389868,87.8049,0.2031,-0.2022
GJ 411,c,166646191,0,2946,210,-180,0,2.94,0.14,-0.12,0,0.335,,,0,0.132,0.16,-0.091,0,2457205,98,-96,0,2457250,820,-690,0,M1.5 V,3719,21,-31,0,0.37,0.01,-0.01,0,165.834471,35.972317,5.675773,0.0059099,-0.0059099
HD 95872,b,52198580,0,4375,170,-170,0,5.15,0.16,-0.16,0,1.16,,,0,0.06,0.04,-0.04,0,,,,,2449869,744,-744,0,K0 V,5312,100,-100,0,0.84,0.04,-0.04,0,165.8658796,-22.0943303,72.2195,0.1792,-0.1784
HD 96063,b,53178442,0,362.5,2.2,-2.2,0,1.11,0.14,-0.14,0,1.22,,,0,0.17,0.11,-0.11,0,,,,,2455165,43,-43,0,G6 V,5020,,,0,4.75,,,0,166.1853484,-2.5132966,140.065,1.326,-1.326
HD 96127,b,252803484,0,647.29999,17,-17,0,1.42,0.13,-0.13,0,1.08,,,0,0.3,0.1,-0.1,0,,,,,2453969.9,31,-31,0,K2 III,3943,23,-23,0,51.1,22.81,-22.81,0,166.441502,44.30155,587.659,25.455,-25.455
HD 96167,b,286277386,0,498.04,0.76,-0.76,0,1.332,0.098,-0.098,0,1.25,,,0,0.685,0.029,-0.029,0,,,,,2453061.1,4.4,-4.4,0,G5,5733,,,0,1.94,,,0,166.3125657,-10.291345,85.3006,0.4163,-0.4123
HD 96700,b,23270430,0,8.1245,0.0006,-0.0006,0,0.0777,0.0013,-0.0013,0,0.261,,,0,0.138,,,1,,,,,2455501.3,1.3,-1.3,0,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,166.9742616,-30.1751383,25.4111,0.0284,-0.0283
HD 96700,c,23270430,0,19.88,0.01,-0.01,0,0.141,0.002,-0.002,0,0.151,,,0,0.293,,,1,,,,,2455513,5,-5,0,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,166.9742616,-30.1751383,25.4111,0.0284,-0.0283
